plant_type,eic_long_name,country_code,eic_code
Biomass,Amagerværket Blok 4,DK,45W000000000113T
Biomass,Avedøreværket Blok 1,DK,45W000000000029I
Biomass,Avedøreværket Blok 2,DK,45W000000000030X
Biomass,PROVENCE 4,FR,17W100P100P03655
Biomass,RODENHUIZE 4,BE,22WRODENH150213L
Biomass,Skærbækværket Blok 3,DK,45W000000000031V
Biomass,Studstrupværket Blok 3,DK,45W000000000036L
Fossil Brown coal/Lignite,Boxberg N,DE,11WD8BOXB1L---N8
Fossil Brown coal/Lignite,Boxberg P,DE,11WD8BOXB1L---P4
Fossil Brown coal/Lignite,Boxberg Q,DE,11WD8BOXB1L---Q2
Fossil Brown coal/Lignite,Boxberg R,DE,11WD8BOXB1L---R0
Fossil Brown coal/Lignite,Jänschwalde A,DE,11WD8JAEN1L---AD
Fossil Brown coal/Lignite,Jänschwalde B,DE,11WD8JAEN1L---BB
Fossil Brown coal/Lignite,Jänschwalde D,DE,11WD8JAEN1L---D7
Fossil Brown coal/Lignite,Jänschwalde E,DE,11WD8JAEN1L---E5
Fossil Brown coal/Lignite,Jänschwalde F,DE,11WD8JAEN1L---F3
Fossil Brown coal/Lignite,Lippendorf R,DE,11WD8LIPD1L---R6
Fossil Brown coal/Lignite,Lippendorf S,DE,11WD8LIPD1L---S4
Fossil Brown coal/Lignite,Neurath_C,DE,11WD7NEUR1B--C-U
Fossil Brown coal/Lignite,Neurath_D,DE,11WD7NEUR1B--D-R
Fossil Brown coal/Lignite,Neurath_E,DE,11WD7NEUR1B--E-O
Fossil Brown coal/Lignite,Neurath_F,DE,11WD7NEUR1B--F-L
Fossil Brown coal/Lignite,Neurath_G,DE,11WD7NEUR1B--G-I
Fossil Brown coal/Lignite,Niederaußem_E,DE,11WD7NIED2B--E-B
Fossil Brown coal/Lignite,Niederaußem_F,DE,11WD7NIED2B--F-8
Fossil Brown coal/Lignite,Niederaußem_G,DE,11WD7NIED1B--G-C
Fossil Brown coal/Lignite,Niederaußem_H,DE,11WD7NIED1B--H-9
Fossil Brown coal/Lignite,Niederaußem_K,DE,11WD7NIED1B--K-0
Fossil Brown coal/Lignite,SCHKOPAU_A,DE,11WD8SCHK1L---A2
Fossil Brown coal/Lignite,SCHKOPAU_B,DE,11WD8SCHK1L---B0
Fossil Brown coal/Lignite,Schwarze Pumpe A,DE,11WD8SWPU1L---AK
Fossil Brown coal/Lignite,Schwarze Pumpe B,DE,11WD8SWPU1L---BI
Fossil Brown coal/Lignite,Weisweiler_F,DE,11WD7WEIS1B--F-M
Fossil Brown coal/Lignite,Weisweiler_G,DE,11WD7WEIS1B--G-J
Fossil Brown coal/Lignite,Weisweiler_H,DE,11WD7WEIS1B--H-G
Fossil Coal-derived gas,Hamborn 4,DE,11WD7BEEC5XHAM4I
Fossil Coal-derived gas,Hamborn 5,DE,11WD7BEEC5XHAM5G
Fossil Coal-derived gas,Huckingen_A,DE,11WD7HUCK2G--A-C
Fossil Coal-derived gas,Ruhrort 4,DE,11WD7BEEC5XRUH4E
Fossil Coal-derived gas,UP_CET2_1,IT,26WUUUUUUUCET21O
Fossil Coal-derived gas,UP_ISABENERGY_3,IT,26WUISABENERGY3L
Fossil Coal-derived gas,UP_LVTRNTCET3_1,IT,26WULVTRNTCET31X
Fossil Coal-derived gas,UP_SARLUX_1,IT,26WUUUUUSARLUX1W
Fossil Gas,ALPIQ ENERGÍA ESPAÑA,ES,18WPVENT2-1234-P
Fossil Gas,Amercoeur 1 R GT,BE,22WAMERCO000008L
Fossil Gas,Amercoeur 1 R ST,BE,22WAMERCO000009J
Fossil Gas,AMFARD14,FR,17W100P100P03477
Fossil Gas,AMFARD15,FR,17W100P100P03485
Fossil Gas,BASF A 800_GT11,DE,11WD7LUDW2GGT11E
Fossil Gas,BASF Süd_GT 1,DE,11WD7LUDW5GSDG1Q
Fossil Gas,BASF Süd_GT 2,DE,11WD7LUDW5GSDG2O
Fossil Gas,BBEL,ES,18WBAHITG1-12-CR
Fossil Gas,BBEL,ES,18WBAHITG2-12-CK
Fossil Gas,BBEL,ES,18WBAHITV-123-CB
Fossil Gas,BIZE,ES,18WAMBITG1-12--P
Fossil Gas,BIZE,ES,18WAMBITG2-12-CT
Fossil Gas,BIZE,ES,18WAMBITV-123-CK
Fossil Gas,BLENOD 5,FR,17W100P100P0173E
Fossil Gas,Block 07 Linz,AT,14W-BLOCK07-L--J
Fossil Gas,BOUCHAIN 7,FR,17W100P100P01768
Fossil Gas,Bremen Mittelsbueren Block 4,DE,11WD2BRE4000115K
Fossil Gas,Burghausen_GT1,DE,11WD2BURG000145R
Fossil Gas,Claus C,NL,49W0000000000059
Fossil Gas,COMPAGNIE ELECTRIQUE DE BRETAGNE,FR,17W000001023725I
Fossil Gas,CYCOFOS PL1,FR,17W100P100P03388
Fossil Gas,Diemen 33,NL,49W0000000000164
Fossil Gas,Diemen 34,NL,49W0000000000172
Fossil Gas,DK6 TV1,FR,17W100P100P0331M
Fossil Gas,DK6 TV2,FR,17W100P100P0333I
Fossil Gas,Donaustadt 3,AT,14W-GEN-DO3----F
Fossil Gas,DROGENBOS GT1,BE,22WDROGEN0000839
Fossil Gas,DROGENBOS GT2,BE,22WDROGEN0000847
Fossil Gas,DROGENBOS ST,BE,22WDROGEN0000855
Fossil Gas,EDH,NL,49W0000000000342
Fossil Gas,ELECTRICA DE LA RIBERA DEL EBRO SA,ES,18WSRI4-123456-V
Fossil Gas,"ELECTRICA DE LA RIBERA DEL EBRO, S.A.",ES,18WCTJON3-1234-E
Fossil Gas,"ELECTRICA DE LA RIBERA DEL EBRO, SA",ES,18WSRI5-12345--5
Fossil Gas,"ELSTA BV  Co., CV",NL,49W000000000049Q
Fossil Gas,EMILE HUCHET 7,FR,17W100P100P00105
Fossil Gas,EMILE HUCHET 8,FR,17W100P100P00113
Fossil Gas,Emsland_D,DE,11WD7EMSL1G-GUD9
Fossil Gas,ENDESA,ES,18WBES5TG1-123-2
Fossil Gas,ENDESA,ES,18WBES5TG2-123-W
Fossil Gas,ENDESA,ES,18WBES5TV-1234-K
Fossil Gas,ENDESA GENERACION,ES,18WPGR5TG1-123-T
Fossil Gas,ENDESA GENERACION,ES,18WPGR5TG2-123-M
Fossil Gas,ENDESA GENERACION,ES,18WPGR5TV-1234-A
Fossil Gas,ENDG,ES,18WCOL4-12345-CF
Fossil Gas,Enecogen UNIT10,NL,49W000000000059N
Fossil Gas,"E.ON  GENERACION, S.L.",ES,18WALG3TG2-123-2
Fossil Gas,"E.ON GENERACION, S.L.",ES,18WALG3TG1-123-9
Fossil Gas,"E.ON GENERACION, S.L.",ES,18WALG3TV1-123-0
Fossil Gas,EREB,ES,18WCTJON1-123-CJ
Fossil Gas,GASN,ES,18WARRU1-1234-CW
Fossil Gas,GASN,ES,18WARRU2-1234-CN
Fossil Gas,GASN,ES,18WBES4-12345-CY
Fossil Gas,GASN,ES,18WCTGN2-1234-CG
Fossil Gas,GASN,ES,18WCTGN3-1234-C7
Fossil Gas,GASN,ES,18WSROQ1-1234-CJ
Fossil Gas,"Gas Natural SDG, S.A.",ES,18WMALA1-1234567
Fossil Gas,GAS NATURAL SDG S.A.,ES,18WPBCN2-1234-P7
Fossil Gas,GDFSUEZ_NL_EC-22,NL,49W000000000097F
Fossil Gas,GDFSUEZ_NL_EC-3,NL,49W000000000089E
Fossil Gas,GDFSUEZ_NL_EC-4,NL,49W000000000087I
Fossil Gas,GDFSUEZ_NL_EC-5,NL,49W000000000085M
Fossil Gas,GDFSUEZ_NL_EC-6,NL,49W000000000083Q
Fossil Gas,GDFSUEZ_NL_EC-7,NL,49W000000000081U
Fossil Gas,GDFSUEZ_NL_FL-5,NL,49W000000000075P
Fossil Gas,GDK-Mellach Linie 10-M1,AT,14W-WGM1-M1----5
Fossil Gas,Gersteinwerk_K1,DE,11WD7GERS5S-K1-J
Fossil Gas,GT HKW Nossener Brücke,DE,11WD8DRES5X----D
Fossil Gas,GuD Kraftwerk Timelkam,AT,14WENERGIEAGWT4S
Fossil Gas,GuD-Leipzig-Nord,DE,11WD8LEIP5X----6
Fossil Gas,Heizkraftwerk-Niehl-GuD-Anlage-Niehl Bl.31,DE,11WD7OPLA1G--318
Fossil Gas,Heizkraftwerk-Roemerbruecke,DE,11WD7UCHT5XROEMT
Fossil Gas,Herrenhausen KWH Block B,DE,11WD2HERR5G----G
Fossil Gas,HIBE,ES,18WSTC4-12345-CV
Fossil Gas,HKW West Block 4,DE,11WD2FFW4000020J
Fossil Gas,HUNTORF_GT,DE,11WD2HUNT0000644
Fossil Gas,IBEG,ES,18WACE3-12345-CD
Fossil Gas,IBEG,ES,18WCTN3TG1-12-CI
Fossil Gas,IBEG,ES,18WCTN3TG2-12-CB
Fossil Gas,IBEG,ES,18WCTN3TV-123-C2
Fossil Gas,IBEG,ES,18WESC6TG1-12-CL
Fossil Gas,IBEG,ES,18WESC6TG2-12-CE
Fossil Gas,IBEG,ES,18WESC6TV-123-C5
Fossil Gas,Klingenberg 1-3,DE,11WD8KLIN5G--13E
Fossil Gas,Knapsack_20_Erzeugungseinheit,DE,11WD7KWKN-20-EEW
Fossil Gas,Knapsack_KW_Erzeugungseinheit,DE,11WD7KWKN-KW-EEN
Fossil Gas,Küstenkraftwerk K.I.E.L,DE,11W0-0000-0163-M
Fossil Gas,Lage weide 6,NL,49W0000000000245
Fossil Gas,Lares - G2,PT,16WLARES2------3
Fossil Gas,Lausward_GuDF,DE,11WD7NORF5GGUDFA
Fossil Gas,Lichterfelde GUD,DE,11W0-0000-0103-9
Fossil Gas,Marcinelle Energie (Carsid),BE,22WMARCIN150179H
Fossil Gas,MARTIGUES-PONTEAU 5,FR,17W100P100P0174C
Fossil Gas,MARTIGUES-PONTEAU 6,FR,17W100P100P0175A
Fossil Gas,Marzahn GUD,DE,11W0-0000-0104-6
Fossil Gas,Mitte GuD,DE,11WD8MITT5GGUD-8
Fossil Gas,Pego C.C. - G3,PT,16WPEGO3-------P
Fossil Gas,Pego C.C. - G4,PT,16WPEGO4-------G
